"Frankfurt";"US1702721085";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"31.01.25";"10,854";"10,854";"10,854";"10,854";"";""
"30.01.25";"10,55";"11,718";"11,718";"10,55";"1.466";"126"
"29.01.25";"10,72";"11,79";"11,79";"10,72";"118";"10"
"28.01.25";"10,75";"10,75";"10,75";"10,75";"";""
"27.01.25";"10,752";"10,752";"10,752";"10,752";"75";"7"
"24.01.25";"10,75";"12,062";"12,062";"10,75";"12";"1"
"23.01.25";"11,55";"11,55";"11,55";"11,55";"12";"1"
"22.01.25";"11,55";"10,75";"11,55";"10,75";"12";"1"
"21.01.25";"11,55";"10,75";"11,55";"10,75";"12";"1"
"20.01.25";"11,00";"11,55";"11,55";"11,00";"601";"52"
"17.01.25";"10,50";"10,50";"10,50";"10,50";"";""
"16.01.25";"10,48";"11,974";"11,974";"10,48";"239";"20"
"15.01.25";"10,182";"10,964";"10,964";"10,182";"2.039";"186"
"14.01.25";"10,222";"10,214";"10,222";"10,214";"";""
"13.01.25";"10,12";"10,08";"10,12";"10,08";"";""
"10.01.25";"10,422";"11,04";"11,04";"10,422";"232";"21"
"09.01.25";"10,412";"10,402";"10,412";"10,402";"94";"9"
"08.01.25";"10,46";"10,46";"10,46";"10,46";"";""
"07.01.25";"10,364";"11,12";"11,136";"10,342";"223";"20"
"06.01.25";"11,60";"11,002";"11,60";"10,51";"365";"33"
"03.01.25";"10,548";"11,236";"11,326";"10,548";"637";"57"
"02.01.25";"11,26";"11,206";"11,304";"11,206";"2.261";"201"
"30.12.24";"10,39";"11,192";"11,192";"10,39";"672";"60"
"27.12.24";"10,344";"11,124";"11,124";"9,834";"556";"50"
"23.12.24";"10,338";"10,338";"10,338";"10,338";"";""
"20.12.24";"10,396";"10,396";"10,396";"10,396";"";""
"19.12.24";"9,924";"11,00";"11,00";"9,924";"143";"13"
"18.12.24";"10,16";"10,936";"10,96";"10,16";"2.491";"229"
"17.12.24";"10,50";"10,50";"10,50";"10,50";"788";"75"
"16.12.24";"10,202";"10,956";"10,964";"10,202";"208";"19"
"13.12.24";"10,50";"10,50";"10,50";"10,50";"";""
"12.12.24";"10,50";"10,50";"10,90";"10,50";"765";"72"
"11.12.24";"10,222";"11,30";"11,30";"10,222";"147";"13"
"10.12.24";"10,324";"10,80";"11,06";"10,324";"478";"44"
"09.12.24";"10,284";"11,114";"11,114";"10,28";"132";"12"
"06.12.24";"10,452";"10,988";"11,09";"10,452";"430";"39"
"05.12.24";"10,448";"11,00";"11,00";"10,448";"5.500";"500"
"04.12.24";"10,416";"10,416";"10,416";"10,416";"";""
"03.12.24";"10,184";"10,184";"10,184";"10,184";"";""
"02.12.24";"10,518";"10,518";"10,518";"10,518";"";""
"29.11.24";"10,422";"10,422";"10,422";"10,422";"";""
"28.11.24";"10,124";"10,47";"10,47";"10,124";"";""
"27.11.24";"10,328";"10,328";"10,328";"10,328";"";""
"26.11.24";"10,41";"10,41";"10,41";"10,41";"";""
"25.11.24";"10,476";"10,476";"10,476";"10,476";"";""
