Tabelle: 61111-0007
Wägungsschema des Verbraucherpreisindex: Deutschland, Jahre,;;
Klassifikation der Verwendungszwecke des Individualkonsums;;
(COICOP 2-5-Steller Hierarchie);;
Verbraucherpreisindex für Deutschland;;;
Deutschland;;;
Gewichtung des Verbraucherpreisindex (Promille);;;
;;2020;
CC13-01;Nahrungsmittel und alkoholfreie Getränke;119,04;e
CC13-011;  Nahrungsmittel;104,69;e
CC13-0118;    Zucker, Marmelade, Honig und andere Süßwaren;7,92;e
CC13-01183;      Schokoladen;2,91;e
CC13-01184;      Süßwaren;2,06;e
CC13-012;  Alkoholfreie Getränke;14,35;e
CC13-0121;    Kaffee, Tee und Kakao;4,34;e
CC13-01211;      Kaffee und Ähnliches;3,28;e
CC13-01212;      Tee und teeähnliche Erzeugnisse;0,91;e
CC13-01213;      Kakaopulver oder Ähnliches;0,15;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 30.01.2026 / 13:43:55
