Tabelle: 61111-0004
Verbraucherpreisindex: Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Klassifikation der Verwendungszwecke des Individualkonsums;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(COICOP 2-5-Steller Hierarchie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex für Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex (2020=100);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2019;;;;;;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;;;;2022;;;;;;;;;;;;;;;;;;;;;;;;2023;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;;;;;;;;;;;;;;;;;
;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;
CC13-01;Nahrungsmittel und alkoholfreie Getränke;97,4;e;97,9;e;97,4;e;97,4;e;97,8;e;97,9;e;98,2;e;98,3;e;98,2;e;97,8;e;98,3;e;98,7;e;99,7;e;101,0;e;100,9;e;101,9;e;101,8;e;101,6;e;98,9;e;98,7;e;98,5;e;98,8;e;99,3;e;98,9;e;101,5;e;102,4;e;102,5;e;103,8;e;103,2;e;102,7;e;103,1;e;103,1;e;103,1;e;103,1;e;103,8;e;104,8;e;106,5;e;107,6;e;108,5;e;112,0;e;114,0;e;115,0;e;117,3;e;118,9;e;121,0;e;122,6;e;124,0;e;125,1;e;127,0;e;129,9;e;131,5;e;130,8;e;130,5;e;130,4;e;130,1;e;129,7;e;130,3;e;130,4;e;131,2;e;131,2;e;132,3;e;132,0;e;131,7;e;132,2;e;132,1;e;132,3;e;132,5;e;132,4;e;133,0;e;134,1;e;134,4;e;134,6;e;134,2;e;135,7;e;136,2;e;136,5;e;136,5;e;135,9;e;136,2;e;136,6;e;136,8;e;136,8;e;136,8;e;136,5;e
CC13-011;  Nahrungsmittel;97,2;e;97,7;e;97,2;e;97,2;e;97,6;e;97,7;e;98,1;e;98,2;e;98,0;e;97,7;e;98,1;e;98,7;e;99,5;e;101,0;e;100,9;e;102,1;e;101,8;e;101,6;e;98,9;e;98,6;e;98,4;e;98,8;e;99,4;e;99,0;e;101,5;e;102,5;e;102,5;e;103,9;e;103,3;e;102,7;e;103,1;e;103,1;e;103,2;e;103,1;e;103,8;e;105,0;e;106,8;e;108,0;e;108,9;e;112,7;e;114,6;e;115,7;e;118,1;e;119,9;e;122,1;e;123,8;e;125,2;e;126,4;e;128,4;e;131,5;e;133,2;e;132,1;e;131,7;e;131,5;e;131,1;e;130,7;e;131,2;e;131,3;e;132,1;e;132,2;e;133,3;e;132,7;e;132,3;e;132,8;e;132,5;e;132,9;e;132,8;e;132,6;e;133,3;e;134,3;e;134,5;e;134,8;e;134,4;e;135,9;e;136,3;e;136,5;e;136,2;e;135,5;e;135,7;e;135,9;e;136,1;e;136,1;e;136,1;e;135,9;e
CC13-0118;    Zucker, Marmelade, Honig und andere Süßwaren;99,3;e;99,0;e;99,5;e;99,0;e;99,1;e;98,8;e;99,5;e;99,0;e;99,1;e;98,7;e;99,7;e;98,8;e;100,2;e;100,4;e;100,8;e;100,4;e;100,7;e;101,3;e;98,5;e;99,1;e;99,2;e;99,6;e;99,9;e;99,7;e;101,2;e;103,3;e;103,3;e;103,7;e;102,9;e;103,4;e;103,5;e;103,0;e;103,4;e;104,2;e;103,6;e;103,9;e;104,6;e;104,8;e;105,3;e;104,6;e;107,3;e;107,8;e;108,1;e;110,8;e;113,1;e;115,8;e;117,0;e;118,2;e;119,3;e;120,4;e;123,1;e;125,1;e;126,5;e;128,7;e;128,5;e;129,7;e;130,4;e;131,3;e;130,9;e;130,4;e;132,1;e;132,3;e;133,5;e;135,5;e;135,2;e;136,5;e;136,4;e;136,2;e;137,5;e;136,0;e;135,0;e;134,9;e;133,7;e;137,5;e;140,0;e;140,5;e;144,1;e;143,8;e;144,0;e;145,6;e;146,5;e;147,2;e;147,2;e;146,8;e
CC13-01183;      Schokoladen;99,2;e;99,9;e;101,1;e;99,8;e;101,0;e;100,0;e;100,3;e;99,8;e;99,6;e;98,9;e;99,5;e;98,0;e;99,3;e;99,8;e;100,8;e;99,9;e;100,3;e;101,4;e;99,3;e;99,3;e;98,9;e;100,4;e;100,4;e;100,2;e;101,7;e;104,9;e;104,4;e;105,4;e;104,5;e;104,9;e;105,2;e;103,0;e;104,2;e;105,1;e;103,8;e;104,3;e;105,9;e;106,1;e;106,1;e;103,8;e;108,0;e;107,4;e;107,1;e;112,0;e;115,7;e;117,0;e;115,9;e;116,2;e;116,2;e;118,4;e;123,1;e;124,3;e;126,4;e;128,5;e;127,8;e;129,2;e;130,6;e;132,0;e;131,1;e;129,8;e;132,5;e;133,5;e;136,0;e;139,7;e;140,3;e;142,3;e;141,5;e;140,3;e;142,7;e;142,9;e;143,6;e;143,6;e;143,0;e;153,0;e;158,7;e;160,7;e;168,7;e;167,1;e;167,8;e;170,2;e;172,9;e;174,1;e;171,5;e;170,7;e
CC13-01184;      Süßwaren;100,1;e;99,2;e;99,6;e;99,6;e;99,0;e;99,2;e;99,5;e;98,9;e;98,9;e;99,0;e;99,8;e;99,4;e;101,0;e;100,6;e;101,3;e;100,8;e;100,5;e;100,8;e;97,1;e;99,2;e;99,2;e;99,6;e;99,8;e;100,0;e;101,7;e;102,4;e;103,1;e;103,5;e;101,9;e;102,8;e;103,5;e;103,5;e;103,3;e;104,2;e;104,1;e;103,6;e;103,3;e;102,4;e;103,4;e;104,3;e;105,1;e;105,7;e;106,3;e;107,2;e;109,1;e;109,8;e;110,2;e;110,6;e;111,5;e;112,4;e;113,9;e;116,6;e;117,6;e;120,6;e;121,3;e;124,5;e;124,8;e;124,9;e;125,1;e;124,7;e;126,5;e;125,8;e;127,1;e;129,2;e;127,5;e;128,0;e;129,9;e;130,6;e;131,3;e;131,3;e;130,8;e;130,8;e;130,3;e;129,5;e;131,0;e;131,0;e;132,5;e;135,2;e;135,1;e;137,7;e;137,6;e;137,8;e;139,3;e;138,6;e
CC13-012;  Alkoholfreie Getränke;98,6;e;99,1;e;98,9;e;98,6;e;98,9;e;98,9;e;99,0;e;99,3;e;99,2;e;99,2;e;99,6;e;99,0;e;100,9;e;101,0;e;101,0;e;100,9;e;101,4;e;101,3;e;98,9;e;99,2;e;98,8;e;99,3;e;99,0;e;98,4;e;101,2;e;101,8;e;102,3;e;103,3;e;102,8;e;102,8;e;102,9;e;103,0;e;102,9;e;103,1;e;103,6;e;103,2;e;104,5;e;104,6;e;105,3;e;106,9;e;109,1;e;110,1;e;111,0;e;111,7;e;112,9;e;114,1;e;115,1;e;115,3;e;116,5;e;118,0;e;119,2;e;121,3;e;121,6;e;122,2;e;122,7;e;121,8;e;123,7;e;124,1;e;124,9;e;124,0;e;125,1;e;126,5;e;127,0;e;128,3;e;128,6;e;128,4;e;129,9;e;130,4;e;131,1;e;132,6;e;133,1;e;133,1;e;132,3;e;134,0;e;135,8;e;136,3;e;138,2;e;138,5;e;139,7;e;141,7;e;141,8;e;142,2;e;141,6;e;141,0;e
CC13-0121;    Kaffee, Tee und Kakao;101,1;e;101,8;e;101,7;e;99,5;e;100,9;e;100,0;e;100,1;e;101,0;e;101,1;e;100,7;e;101,2;e;98,7;e;101,5;e;100,8;e;100,4;e;99,6;e;101,5;e;101,5;e;99,6;e;99,3;e;98,4;e;99,6;e;99,6;e;98,1;e;101,5;e;102,1;e;101,5;e;103,3;e;102,8;e;102,4;e;102,9;e;102,5;e;103,4;e;104,4;e;105,0;e;104,3;e;106,1;e;107,8;e;108,9;e;110,4;e;114,0;e;115,9;e;115,3;e;118,7;e;120,3;e;120,4;e;120,9;e;120,5;e;122,6;e;120,7;e;120,0;e;119,5;e;118,3;e;120,3;e;119,9;e;119,6;e;121,5;e;120,9;e;121,5;e;120,7;e;119,6;e;120,4;e;121,1;e;121,7;e;120,1;e;120,1;e;122,4;e;123,5;e;124,9;e;126,4;e;125,8;e;125,8;e;125,5;e;127,7;e;132,3;e;133,6;e;137,6;e;139,3;e;142,7;e;146,3;e;147,1;e;148,2;e;147,5;e;146,1;e
CC13-01211;      Kaffee und Ähnliches;101,6;e;102,5;e;102,3;e;99,6;e;101,1;e;99,9;e;100,1;e;101,2;e;101,6;e;100,8;e;101,6;e;98,3;e;102,1;e;101,3;e;100,4;e;99,1;e;101,5;e;101,5;e;99,4;e;99,2;e;98,0;e;99,8;e;99,8;e;97,9;e;101,9;e;102,4;e;101,9;e;103,9;e;103,1;e;102,6;e;103,3;e;102,8;e;103,9;e;105,2;e;105,9;e;105,4;e;107,4;e;109,2;e;110,9;e;112,2;e;116,9;e;119,1;e;118,3;e;122,6;e;124,6;e;124,7;e;124,8;e;124,5;e;126,6;e;123,6;e;122,7;e;121,8;e;120,2;e;122,3;e;121,5;e;120,5;e;123,1;e;122,4;e;123,2;e;122,2;e;120,8;e;121,3;e;121,8;e;122,1;e;119,8;e;119,7;e;122,9;e;123,7;e;125,5;e;127,4;e;126,8;e;126,8;e;127,2;e;129,5;e;135,4;e;136,3;e;140,9;e;143,4;e;147,3;e;151,9;e;153,0;e;154,5;e;153,6;e;152,0;e
CC13-01212;      Tee und teeähnliche Erzeugnisse;99,8;e;99,8;e;99,9;e;99,3;e;100,3;e;100,7;e;100,7;e;100,8;e;99,9;e;100,4;e;100,3;e;100,2;e;99,7;e;99,5;e;100,5;e;101,1;e;101,4;e;101,5;e;100,2;e;99,7;e;99,8;e;99,0;e;99,2;e;98,4;e;100,3;e;101,4;e;100,3;e;101,9;e;102,2;e;102,2;e;102,2;e;102,3;e;102,1;e;102,1;e;102,4;e;101,1;e;102,2;e;103,1;e;102,3;e;104,6;e;104,8;e;106,1;e;106,2;e;106,2;e;106,7;e;106,2;e;108,5;e;107,6;e;108,6;e;110,1;e;110,2;e;110,8;e;110,0;e;111,9;e;112,4;e;114,4;e;113,9;e;113,4;e;113,5;e;113,2;e;112,9;e;114,8;e;116,1;e;117,5;e;117,8;e;118,0;e;117,6;e;119,7;e;119,9;e;119,6;e;119,2;e;119,2;e;116,3;e;117,5;e;117,9;e;118,4;e;120,9;e;120,0;e;121,4;e;122,0;e;121,4;e;121,0;e;120,7;e;120,2;e
