Tabelle: 61241-0006
Erzeugerpreisindex gewerblicher Produkte: Deutschland,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monate, Güterverzeichnis (GP2019 2-6-Steller Hierarchie);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Index der Erzeugerpreise gewerblicher Produkte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erzeugerpreisindex gewerblicher Produkte (2021=100);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2019;;;;;;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;;;;;;;;;;;;2022;;;;;;;;;;;;;;;;;;;;;;;;2023;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;;;;;;;;;;;;;;;;;
;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;;Januar;;Februar;;März;;April;;Mai;;Juni;;Juli;;August;;September;;Oktober;;November;;Dezember;
GP19-10;Nahrungsmittel und Futtermittel;95,2;e;95,2;e;95,1;e;96,6;e;97,1;e;97,5;e;97,4;e;97,3;e;97,5;e;97,7;e;98,1;e;99,4;e;99,4;e;100,0;e;100,2;e;100,1;e;98,4;e;97,9;e;97,4;e;97,2;e;97,0;e;96,8;e;96,9;e;96,7;e;97,0;e;97,2;e;98,5;e;99,2;e;99,4;e;100,4;e;100,3;e;100,3;e;100,4;e;101,2;e;102,4;e;103,7;e;105,9;e;106,9;e;112,0;e;118,0;e;120,1;e;121,3;e;122,8;e;123,9;e;125,4;e;127,2;e;127,6;e;128,2;e;130,2;e;131,0;e;131,5;e;131,9;e;131,6;e;131,6;e;131,2;e;130,5;e;129,7;e;129,1;e;129,0;e;129,1;e;128,9;e;128,7;e;129,7;e;130,4;e;130,8;e;131,2;e;131,0;e;130,8;e;131,1;e;131,5;e;132,1;e;132,6;e;133,2;e;133,3;e;133,7;e;135,3;e;136,1;e;136,7;e;136,1;e;135,8;e;135,7;e;134,0;e;133,0;e;132,1;e
GP19-108;  Sonstige Nahrungsmittel (ohne Getränke);95,9;e;96,1;e;96,1;e;96,1;e;96,0;e;95,9;e;95,7;e;95,7;e;96,0;e;96,7;e;96,8;e;96,8;e;97,3;e;97,7;e;97,6;e;97,6;e;97,8;e;97,9;e;98,0;e;98,0;e;98,4;e;98,8;e;98,8;e;98,8;e;99,3;e;99,3;e;99,5;e;99,3;e;99,3;e;99,5;e;99,6;e;99,9;e;100,0;e;101,1;e;101,6;e;101,9;e;102,8;e;104,4;e;105,2;e;107,3;e;108,6;e;109,1;e;110,8;e;112,7;e;113,2;e;118,7;e;119,8;e;121,4;e;125,1;e;127,4;e;128,1;e;129,2;e;129,8;e;130,2;e;130,2;e;131,0;e;131,6;e;131,8;e;131,9;e;131,7;e;132,2;e;132,8;e;135,6;e;137,8;e;138,2;e;139,4;e;139,0;e;139,5;e;139,0;e;137,2;e;137,7;e;137,4;e;138,8;e;139,3;e;140,1;e;141,6;e;142,5;e;142,6;e;142,8;e;143,2;e;143,5;e;142,2;e;141,3;e;141,4;e
GP19-1082;    Süßwaren (ohne Dauerbackwaren);97,0;e;97,0;e;96,9;e;97,0;e;97,0;e;97,0;e;96,9;e;96,8;e;96,9;e;97,0;e;97,1;e;97,1;e;97,6;e;97,8;e;97,7;e;97,7;e;98,1;e;97,7;e;97,7;e;98,1;e;98,1;e;98,0;e;98,0;e;98,2;e;100,1;e;99,7;e;99,8;e;99,6;e;99,6;e;99,6;e;99,8;e;100,1;e;100,3;e;100,4;e;100,3;e;100,7;e;101,1;e;102,3;e;103,3;e;104,1;e;104,1;e;104,5;e;105,7;e;107,1;e;108,0;e;110,0;e;110,8;e;110,9;e;114,0;e;116,4;e;118,6;e;120,0;e;120,8;e;121,6;e;122,2;e;123,1;e;124,2;e;124,6;e;125,4;e;125,7;e;127,6;e;131,4;e;138,2;e;146,2;e;147,0;e;151,6;e;148,5;e;150,2;e;147,5;e;149,6;e;155,4;e;156,4;e;158,2;e;159,1;e;157,0;e;158,2;e;162,2;e;162,8;e;161,4;e;163,6;e;164,4;e;160,9;e;158,8;e;159,1;e
GP19-10822;      Schokoladen und andere Süßwaren;97,0;e;97,0;e;96,9;e;97,0;e;97,0;e;97,0;e;96,9;e;96,8;e;96,9;e;97,0;e;97,1;e;97,1;e;97,6;e;97,8;e;97,7;e;97,7;e;98,1;e;97,7;e;97,7;e;98,1;e;98,1;e;98,0;e;98,0;e;98,2;e;100,1;e;99,7;e;99,8;e;99,6;e;99,6;e;99,6;e;99,8;e;100,1;e;100,3;e;100,4;e;100,3;e;100,7;e;101,1;e;102,3;e;103,3;e;104,1;e;104,1;e;104,5;e;105,7;e;107,1;e;108,0;e;110,0;e;110,8;e;110,9;e;114,0;e;116,4;e;118,6;e;120,0;e;120,8;e;121,6;e;122,2;e;123,1;e;124,2;e;124,6;e;125,4;e;125,7;e;127,6;e;131,4;e;138,2;e;146,2;e;147,0;e;151,6;e;148,5;e;150,2;e;147,5;e;149,6;e;155,4;e;156,4;e;158,2;e;159,1;e;157,0;e;158,2;e;162,2;e;162,8;e;161,4;e;163,6;e;164,4;e;160,9;e;158,8;e;159,1;e
GP19-108221;        Schokolade u.a. kakaoh. Lebensm.zub.,in Verp.>2kg;95,6;e;96,1;e;95,9;e;97,4;e;96,2;e;97,2;e;97,4;e;95,4;e;97,2;e;99,0;e;102,0;e;100,2;e;102,4;e;103,5;e;100,2;e;99,6;e;100,2;e;97,7;e;96,9;e;98,7;e;99,8;e;98,4;e;99,1;e;98,4;e;97,1;e;97,4;e;100,0;e;97,6;e;98,3;e;98,1;e;98,6;e;100,6;e;102,9;e;103,5;e;102,4;e;103,5;e;104,6;e;106,4;e;109,4;e;113,0;e;113,2;e;113,1;e;114,9;e;118,4;e;121,6;e;123,5;e;125,0;e;125,6;e;125,8;e;126,8;e;126,2;e;131,3;e;132,6;e;134,6;e;134,5;e;137,7;e;144,7;e;147,7;e;154,8;e;156,1;e;160,1;e;187,0;e;237,1;e;299,6;e;304,8;e;344,0;e;311,3;e;316,9;e;286,5;e;286,9;e;337,8;e;344,7;e;339,0;e;320,9;e;291,5;e;285,2;e;291,5;e;273,1;e;256,9;e;265,5;e;249,7;e;221,1;e;217,7;e;218,9;e
GP19-108222;        Schokolade u.a. kakaoh. Leb.m.zuber.,in Verp.<=2kg;97,6;e;97,6;e;97,4;e;97,5;e;97,5;e;97,3;e;97,2;e;97,2;e;97,3;e;97,3;e;97,4;e;97,5;e;98,1;e;98,2;e;98,2;e;98,3;e;98,7;e;98,3;e;98,2;e;98,6;e;98,5;e;98,6;e;98,6;e;98,9;e;100,6;e;100,0;e;99,8;e;99,8;e;99,8;e;99,8;e;100,0;e;100,0;e;100,0;e;100,0;e;100,0;e;100,3;e;100,8;e;101,6;e;102,5;e;102,9;e;103,0;e;103,5;e;105,1;e;106,6;e;106,7;e;108,5;e;109,4;e;109,5;e;113,5;e;115,4;e;116,9;e;118,0;e;119,1;e;119,9;e;120,2;e;121,0;e;121,6;e;121,7;e;121,8;e;122,0;e;124,1;e;125,5;e;125,7;e;127,8;e;128,0;e;128,7;e;129,3;e;130,7;e;131,4;e;134,6;e;135,2;e;135,5;e;139,1;e;143,8;e;145,3;e;148,3;e;153,3;e;156,9;e;157,4;e;159,3;e;163,0;e;162,3;e;160,4;e;160,6;e
GP19-108223;        Süßwaren oh. Kakaogeh. (einschl.weißer Schokolade);96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;96,5;e;95,7;e;96,3;e;96,6;e;96,6;e;96,6;e;96,6;e;96,9;e;96,9;e;96,9;e;96,9;e;96,9;e;96,9;e;99,9;e;99,9;e;99,9;e;99,9;e;99,9;e;99,9;e;100,0;e;100,0;e;100,0;e;100,3;e;100,3;e;100,3;e;100,3;e;102,5;e;103,1;e;103,3;e;103,3;e;103,3;e;103,1;e;103,1;e;105,3;e;108,0;e;108,0;e;108,0;e;109,6;e;114,6;e;120,6;e;120,6;e;120,6;e;120,6;e;122,5;e;122,3;e;122,3;e;122,3;e;122,3;e;122,6;e;122,6;e;122,6;e;129,0;e;129,0;e;129,0;e;129,0;e;129,0;e;129,8;e;129,8;e;129,5;e;129,5;e;129,5;e;129,2;e;127,5;e;127,3;e;126,7;e;126,4;e;126,4;e;126,4;e;126,4;e;126,4;e;126,4;e;124,5;e;124,5;e
GP19-1083;    Kaffee und Tee, Kaffee-Ersatz;98,4;e;98,2;e;98,3;e;97,9;e;97,6;e;97,0;e;96,2;e;96,0;e;96,0;e;96,0;e;96,0;e;96,1;e;96,0;e;96,3;e;96,3;e;96,1;e;96,3;e;96,5;e;97,0;e;96,9;e;97,5;e;98,6;e;98,5;e;98,3;e;97,7;e;97,7;e;97,8;e;97,1;e;97,1;e;97,8;e;99,0;e;100,2;e;100,2;e;102,7;e;106,2;e;106,6;e;110,2;e;111,5;e;112,7;e;121,5;e;122,9;e;122,9;e;124,6;e;128,3;e;128,4;e;129,3;e;130,3;e;130,1;e;132,4;e;130,7;e;128,3;e;127,5;e;127,6;e;127,6;e;127,4;e;126,3;e;128,0;e;127,6;e;127,6;e;126,6;e;124,5;e;122,0;e;122,4;e;124,0;e;125,1;e;125,2;e;129,2;e;132,4;e;136,4;e;136,3;e;138,4;e;139,0;e;144,2;e;145,0;e;155,3;e;164,9;e;164,8;e;165,0;e;167,4;e;166,5;e;165,9;e;163,0;e;159,3;e;159,6;e
GP19-10831;      Kaffee und Tee, Kaffee-Ersatz;98,4;e;98,2;e;98,3;e;97,9;e;97,6;e;97,0;e;96,2;e;96,0;e;96,0;e;96,0;e;96,0;e;96,1;e;96,0;e;96,3;e;96,3;e;96,1;e;96,3;e;96,5;e;97,0;e;96,9;e;97,5;e;98,6;e;98,5;e;98,3;e;97,7;e;97,7;e;97,8;e;97,1;e;97,1;e;97,8;e;99,0;e;100,2;e;100,2;e;102,7;e;106,2;e;106,6;e;110,2;e;111,5;e;112,7;e;121,5;e;122,9;e;122,9;e;124,6;e;128,3;e;128,4;e;129,3;e;130,3;e;130,1;e;132,4;e;130,7;e;128,3;e;127,5;e;127,6;e;127,6;e;127,4;e;126,3;e;128,0;e;127,6;e;127,6;e;126,6;e;124,5;e;122,0;e;122,4;e;124,0;e;125,1;e;125,2;e;129,2;e;132,4;e;136,4;e;136,3;e;138,4;e;139,0;e;144,2;e;145,0;e;155,3;e;164,9;e;164,8;e;165,0;e;167,4;e;166,5;e;165,9;e;163,0;e;159,3;e;159,6;e
GP19-108311;        Kaffee, entkoffeiniert oder geröstet;98,1;e;97,8;e;97,9;e;97,3;e;96,8;e;95,9;e;94,5;e;94,3;e;94,1;e;94,1;e;94,1;e;94,2;e;94,4;e;95,0;e;95,0;e;94,4;e;94,7;e;94,9;e;95,6;e;95,6;e;96,6;e;98,2;e;98,2;e;97,8;e;96,9;e;96,9;e;96,9;e;96,0;e;96,0;e;96,9;e;98,4;e;100,5;e;100,4;e;104,1;e;108,5;e;108,6;e;112,4;e;113,7;e;115,1;e;128,0;e;130,1;e;130,1;e;132,1;e;136,4;e;136,5;e;137,2;e;138,7;e;138,5;e;138,2;e;135,4;e;131,7;e;130,6;e;130,6;e;130,6;e;130,2;e;128,5;e;130,9;e;130,5;e;130,5;e;128,8;e;125,9;e;122,2;e;122,1;e;124,5;e;126,0;e;126,0;e;130,6;e;134,9;e;140,0;e;139,8;e;142,5;e;143,5;e;150,3;e;151,2;e;165,1;e;178,4;e;177,9;e;177,9;e;180,8;e;179,6;e;178,6;e;174,4;e;169,2;e;169,4;e
GP19-108312;        Kaffeemittel m. -geh.,Auszüge,Essenz.,Konzentrate;101,6;e;101,5;e;101,5;e;101,5;e;101,5;e;101,5;e;101,3;e;101,3;e;101,6;e;101,6;e;101,6;e;101,6;e;100,7;e;100,5;e;100,5;e;100,9;e;100,9;e;100,9;e;100,9;e;100,8;e;100,8;e;100,8;e;100,6;e;100,5;e;100,0;e;99,8;e;99,8;e;99,5;e;99,5;e;99,7;e;100,3;e;98,7;e;99,1;e;99,1;e;101,6;e;103,1;e;108,2;e;110,5;e;111,8;e;111,8;e;111,8;e;111,8;e;112,3;e;116,3;e;116,3;e;118,7;e;118,4;e;118,1;e;127,9;e;129,3;e;129,8;e;129,8;e;129,8;e;129,8;e;130,5;e;130,5;e;131,2;e;130,5;e;130,3;e;131,5;e;130,2;e;130,1;e;132,7;e;132,8;e;133,3;e;133,7;e;137,2;e;139,3;e;139,6;e;139,6;e;141,0;e;141,0;e;142,7;e;143,9;e;148,1;e;151,4;e;151,8;e;152,6;e;154,1;e;154,1;e;154,9;e;154,9;e;154,9;e;154,3;e
