Tabelle: 42111-0006
Beschäftigte und Umsatz der Betriebe im Verarbeitenden;;;;;;;;;;
Gewerbe: Deutschland, Monate, Wirtschaftszweige;;;;;;;;;;
(WZ2008 2-4-Steller Hierarchie);;;;;;;;;;
Monatsbericht im Verarbeitenden Gewerbe;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Betriebe;;;;;;;;;;;;;;;;;;;
;;Betriebe;;Beschäftigte;;Geleistete Arbeitsstunden;;Bruttolohn- und -gehaltssumme;;Umsatz;;Inlandsumsatz;;Auslandsumsatz;;Auslandsumsatz mit der Eurozone;;Auslandsumsatz mit dem sonstigen Ausland;
;;Anzahl;Anzahl;Anzahl;Anzahl;1000;1000;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR
2019;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2394;e;449679;e;60212;e;1214597;e;11680675;e;8849989;e;2830686;e;1982405;e;848281;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;391;e;99191;e;13403;e;331544;e;2356737;e;1560345;e;796392;e;564629;e;231763;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);128;e;36176;e;4704;e;111357;e;661917;e;368683;e;293234;e;203492;e;89742;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8977;e;1279;e;31949;e;353693;e;228469;e;125223;e;89842;e;35381;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2424;e;451567;e;56795;e;1174794;e;11062526;e;8375547;e;2686979;e;1865143;e;821836;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;394;e;98359;e;12455;e;323609;e;2366681;e;1584289;e;782392;e;549017;e;233375;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);128;e;35363;e;4374;e;106786;e;796477;e;478390;e;318087;e;226916;e;91171;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8937;e;1181;e;31123;e;330049;e;216616;e;113433;e;79721;e;33712;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2438;e;452452;e;58455;e;1242076;e;11916806;e;9039340;e;2877467;e;2002967;e;874500;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;396;e;98437;e;12592;e;346630;e;2521405;e;1703534;e;817871;e;571276;e;246595;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);127;e;34926;e;4294;e;106900;e;812060;e;503010;e;309051;e;225897;e;83153;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8978;e;1219;e;33205;e;357925;e;231437;e;126488;e;78478;e;48009;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2434;e;452305;e;57711;e;1253613;e;12346620;e;9477824;e;2868796;e;1963623;e;905173;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;395;e;98636;e;12098;e;343020;e;2415719;e;1656179;e;759540;e;529556;e;229983;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35197;e;3980;e;102877;e;691961;e;426148;e;265812;e;186649;e;79163;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8946;e;1195;e;32053;e;357560;e;236917;e;120643;e;80599;e;40044;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2426;e;451864;e;59098;e;1286052;e;12081841;e;9179877;e;2901963;e;2034864;e;867099;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;394;e;98937;e;12746;e;362300;e;2348536;e;1578035;e;770501;e;543280;e;227221;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35635;e;4321;e;120322;e;613104;e;352075;e;261029;e;183800;e;77229;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;8929;e;1219;e;33324;e;346502;e;228398;e;118103;e;83023;e;35081;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2421;e;453372;e;54973;e;1247443;e;11115975;e;8480257;e;2635718;e;1854551;e;781166;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;393;e;99776;e;11580;e;334292;e;2019894;e;1343521;e;676372;e;483030;e;193343;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;36325;e;3967;e;106516;e;543874;e;299071;e;244802;e;174764;e;70038;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;8909;e;1105;e;32655;e;275371;e;170748;e;104623;e;74335;e;30287;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2417;e;457782;e;60330;e;1253996;e;12180473;e;9212798;e;2967675;e;2067680;e;899995;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;393;e;101192;e;13068;e;341499;e;2332409;e;1537311;e;795098;e;544803;e;250295;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;37474;e;4626;e;114480;e;669926;e;371998;e;297927;e;195636;e;102291;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;8989;e;1225;e;32531;e;332704;e;218636;e;114069;e;78295;e;35773;e
August;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2414;e;460814;e;58997;e;1233245;e;11813497;e;8959971;e;2853526;e;1988310;e;865217;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;393;e;102413;e;12719;e;333436;e;2296747;e;1495110;e;801637;e;546342;e;255294;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;38252;e;4668;e;112337;e;735793;e;395290;e;340503;e;231184;e;109319;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;9054;e;1185;e;31993;e;314103;e;199786;e;114317;e;76305;e;38012;e
September;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2404;e;460871;e;58927;e;1220790;e;12207719;e;9242453;e;2965266;e;2080781;e;884485;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;392;e;103176;e;13181;e;333941;e;2589673;e;1739983;e;849691;e;589793;e;259898;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;38345;e;4744;e;112960;e;902434;e;521538;e;380896;e;264135;e;116761;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;9117;e;1204;e;31488;e;355216;e;240594;e;114622;e;76214;e;38408;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2400;e;459990;e;60836;e;1284895;e;13032241;e;9860399;e;3171842;e;2217788;e;954053;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;391;e;103042;e;13622;e;347784;e;2922638;e;1987527;e;935111;e;666276;e;268835;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;38247;e;4852;e;117808;e;1092774;e;682858;e;409916;e;290822;e;119094;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;9088;e;1236;e;32432;e;367327;e;244370;e;122957;e;86821;e;36136;e
November;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2399;e;459628;e;59859;e;1632040;e;12695107;e;9648556;e;3046551;e;2086618;e;959934;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;391;e;102912;e;13528;e;490756;e;2788398;e;1906669;e;881729;e;631608;e;250120;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;38098;e;4834;e;170401;e;942976;e;575416;e;367560;e;260463;e;107097;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;9063;e;1219;e;45923;e;391294;e;272585;e;118709;e;79263;e;39446;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2396;e;456404;e;55544;e;1296973;e;12235693;e;9463915;e;2771779;e;1900318;e;871461;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;391;e;101178;e;11567;e;354575;e;2320962;e;1590159;e;730803;e;514171;e;216632;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;36614;e;3893;e;118245;e;677970;e;386073;e;291897;e;199395;e;92502;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;43;e;9002;e;1117;e;33255;e;326607;e;215819;e;110788;e;74132;e;36656;e
2020;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2409;e;455226;e;60429;e;1259591;e;12442561;e;9392010;e;3050550;e;2108842;e;941709;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;402;e;101647;e;13697;e;347046;e;2528798;e;1693545;e;835253;e;597600;e;237653;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);125;e;36311;e;4705;e;112340;e;793055;e;469380;e;323674;e;234051;e;89623;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;44;e;9053;e;1287;e;32009;e;334987;e;216910;e;118077;e;81451;e;36625;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2428;e;456357;e;57345;e;1224397;e;11884930;e;9043163;e;2841767;e;1968141;e;873625;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;101036;e;12769;e;339801;e;2577009;e;1760871;e;816139;e;577545;e;238594;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35810;e;4412;e;108081;e;923677;e;584280;e;339397;e;245064;e;94333;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9127;e;1222;e;31785;e;327790;e;215728;e;112062;e;74522;e;37540;e
März;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2440;e;456652;e;59654;e;1285653;e;13920723;e;10710269;e;3210455;e;2212483;e;997972;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;100650;e;13225;e;357761;e;2928818;e;2050726;e;878091;e;616312;e;261780;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35387;e;4404;e;111091;e;910124;e;588959;e;321165;e;229246;e;91920;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9153;e;1276;e;35119;e;412155;e;279279;e;132875;e;91486;e;41389;e
April;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2445;e;450868;e;54988;e;1267425;e;11897199;e;9103102;e;2794097;e;1860066;e;934030;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;407;e;100085;e;12013;e;359629;e;2364882;e;1596858;e;768024;e;539126;e;228898;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;34890;e;3741;e;108941;e;642559;e;383223;e;259336;e;184814;e;74522;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9069;e;1192;e;34401;e;337908;e;228368;e;109541;e;73641;e;35900;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2441;e;447843;e;53825;e;1268014;e;11236498;e;8506175;e;2730323;e;1850517;e;879806;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;406;e;100133;e;11747;e;368696;e;2148597;e;1416009;e;732588;e;516404;e;216184;e
WZ08-1082;    Herstellung von Süßwaren (ohne Dauerbackwaren);126;e;35172;e;3688;e;124124;e;584853;e;335068;e;249785;e;182427;e;67358;e
WZ08-1083;    Verarbeitung von Kaffee u.Tee, H.v. Kaffee-Ersatz;45;e;9086;e;1163;e;33366;e;282745;e;174858;e;107888;e;71980;e;35908;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-10;Herstellung von Nahrungs- und Futtermitteln;2439;e;449581;e;55628;e;1277296;e;11660474;e;8831858;e;2828616;e;1939684;e;888932;e
WZ08-108;  Herstellung von sonstigen Nahrungsmitteln;407;e;100794;e;12169;e;350385;e;2347799;e;1581891;e;765908;e;529067;e;236842;e
