"Frankfurt";"US6092071058";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"30.01.20";"50,61";"52,27";"52,27";"50,30";"41.006";"802"
"29.01.20";"49,78";"49,755";"49,78";"49,755";"4.978";"100"
"28.01.20";"49,78";"49,82";"49,82";"49,60";"9.938";"200"
"27.01.20";"49,50";"49,64";"49,88";"49,50";"6.815";"137"
"24.01.20";"50,09";"50,42";"50,42";"50,09";"";""
"23.01.20";"49,865";"49,875";"49,875";"49,865";"";""
"22.01.20";"50,20";"50,26";"50,38";"50,20";"16.370";"326"
"21.01.20";"49,41";"49,50";"49,66";"49,36";"51.228";"1.035"
"20.01.20";"49,84";"49,84";"49,84";"49,84";"4.486";"90"
"17.01.20";"49,45";"49,77";"49,915";"49,45";"15.124";"303"
"16.01.20";"49,02";"49,50";"49,50";"49,02";"34.561";"704"
"15.01.20";"48,505";"48,945";"49,135";"48,40";"8.894";"183"
"14.01.20";"48,815";"48,735";"48,815";"48,735";"1.708";"35"
"13.01.20";"48,90";"48,82";"49,045";"48,82";"13.235";"270"
"10.01.20";"48,92";"48,91";"48,92";"48,75";"1.854";"38"
"09.01.20";"48,62";"48,65";"48,905";"48,595";"9.610";"197"
"08.01.20";"48,255";"48,255";"48,255";"48,255";"";""
"07.01.20";"48,365";"48,325";"48,645";"48,325";"69.226";"1.424"
"06.01.20";"48,35";"48,405";"48,415";"48,09";"51.249";"1.064"
"03.01.20";"48,18";"48,51";"48,51";"48,14";"7.221";"150"
"02.01.20";"49,135";"49,395";"49,395";"49,135";"";""
"30.12.19";"49,26";"49,29";"49,29";"49,26";"4.929";"100"
"27.12.19";"49,18";"49,19";"49,19";"49,18";"3.934";"80"
"23.12.19";"49,845";"49,87";"49,99";"49,845";"4.490";"90"
"20.12.19";"49,44";"49,74";"49,83";"49,44";"6.976";"140"
"19.12.19";"48,845";"49,355";"49,355";"48,845";"8.575";"175"
"18.12.19";"48,44";"49,05";"49,05";"48,44";"5.865";"121"
"17.12.19";"48,065";"48,395";"48,395";"48,065";"6.582";"136"
"16.12.19";"47,95";"47,89";"47,95";"47,80";"2.630";"55"
"13.12.19";"47,435";"47,51";"47,51";"47,00";"7.644";"161"
"12.12.19";"48,50";"48,055";"48,50";"48,055";"73.720";"1.520"
"11.12.19";"48,61";"48,835";"48,835";"48,61";"";""
"10.12.19";"48,74";"48,995";"49,035";"48,74";"9.899";"202"
"09.12.19";"48,53";"48,655";"48,655";"48,465";"34.981";"721"
"06.12.19";"48,385";"48,87";"48,87";"48,385";"31.921";"656"
"05.12.19";"48,08";"47,98";"48,08";"47,98";"";""
"04.12.19";"47,705";"47,49";"47,705";"47,49";"";""
"03.12.19";"47,58";"47,795";"47,795";"47,58";"9.550";"200"
"02.12.19";"47,91";"47,41";"47,91";"47,41";"4.791";"100"
"29.11.19";"47,63";"47,575";"47,87";"47,575";"5.584";"117"
"28.11.19";"48,045";"48,045";"48,045";"48,045";"1.682";"35"
"27.11.19";"47,71";"48,005";"48,005";"47,71";"21.847";"457"
"26.11.19";"47,105";"47,135";"47,38";"47,105";"2.369";"50"
"25.11.19";"46,50";"46,50";"46,50";"46,50";"26.877";"578"
"22.11.19";"46,97";"46,995";"46,995";"46,97";"10.104";"215"
"21.11.19";"47,065";"47,075";"47,075";"47,065";"3.295";"70"
"20.11.19";"47,405";"47,10";"47,405";"47,10";"22.128";"467"
"19.11.19";"47,85";"47,79";"48,185";"47,79";"7.951";"165"
"18.11.19";"47,69";"47,755";"47,755";"47,645";"3.718";"78"
"15.11.19";"47,98";"47,385";"48,265";"47,385";"7.240";"150"
"14.11.19";"47,68";"47,945";"48,00";"47,68";"9.792";"204"
"13.11.19";"47,115";"47,115";"47,115";"47,115";"";""
"12.11.19";"46,89";"47,165";"47,165";"46,815";"18.270";"389"
"11.11.19";"46,905";"46,88";"46,905";"46,88";"4.735";"101"
"08.11.19";"46,415";"46,925";"46,925";"46,415";"4.651";"100"
"07.11.19";"46,96";"46,99";"47,00";"46,46";"42.468";"910"
"06.11.19";"46,81";"46,315";"46,81";"46,315";"127.047";"2.743"
"05.11.19";"46,22";"46,40";"46,58";"46,22";"8.534";"184"
"04.11.19";"46,365";"46,40";"46,825";"46,365";"75.519";"1.624"
"01.11.19";"46,74";"47,02";"47,02";"46,74";"19.369";"412"
"31.10.19";"46,375";"46,79";"46,79";"46,375";"";""
"30.10.19";"47,00";"46,635";"47,73";"46,49";"45.305";"964"
"29.10.19";"47,045";"47,825";"47,825";"47,045";"32.818";"695"
"28.10.19";"47,325";"47,43";"47,76";"47,325";"478";"10"
"25.10.19";"47,63";"47,395";"47,63";"47,395";"11.849";"250"
"24.10.19";"47,09";"47,465";"47,465";"46,96";"9.493";"200"
"23.10.19";"47,285";"47,315";"47,565";"47,22";"15.135";"320"
"22.10.19";"47,91";"47,90";"47,91";"47,90";"50.305";"1.050"
"21.10.19";"48,94";"48,70";"48,94";"48,70";"2.146";"44"
"18.10.19";"49,02";"48,925";"49,18";"48,875";"9.836";"200"
"17.10.19";"48,885";"49,085";"49,085";"48,885";"343";"7"
"16.10.19";"48,79";"48,865";"49,01";"48,79";"100.118";"2.044"
"15.10.19";"48,99";"49,085";"49,085";"48,99";"16.531";"337"
"14.10.19";"49,605";"49,475";"49,66";"49,45";"11.133";"225"
"11.10.19";"50,45";"49,72";"50,45";"49,72";"50.714";"1.020"
"10.10.19";"49,565";"49,83";"49,83";"49,10";"31.591";"642"
"09.10.19";"49,64";"49,64";"49,64";"49,64";"";""
"08.10.19";"50,10";"49,96";"50,28";"49,96";"3.771";"75"
"07.10.19";"51,11";"50,60";"51,11";"50,60";"8.944";"175"
"04.10.19";"49,575";"50,56";"50,56";"49,575";"12.919";"257"
"02.10.19";"49,91";"49,735";"49,91";"49,65";"16.064";"323"
"01.10.19";"50,70";"50,24";"50,76";"50,24";"10.349";"206"
"30.09.19";"50,52";"50,65";"50,69";"50,52";"2.577";"51"
"27.09.19";"50,91";"50,54";"50,91";"50,54";"";""
"26.09.19";"50,27";"50,56";"50,69";"50,27";"30.358";"600"
"25.09.19";"50,17";"50,31";"50,31";"49,85";"47.455";"949"
"24.09.19";"49,55";"50,10";"50,10";"49,55";"2.529";"51"
"23.09.19";"49,71";"49,765";"49,78";"49,71";"2.040";"41"
"20.09.19";"49,68";"49,75";"49,77";"49,68";"14.527";"292"
"19.09.19";"49,45";"50,02";"50,02";"49,35";"14.313";"290"
"18.09.19";"49,33";"49,33";"49,33";"49,33";"";""
"17.09.19";"48,985";"48,77";"48,985";"48,77";"5.675";"116"
"16.09.19";"48,825";"48,895";"48,895";"48,825";"9.767";"200"
"13.09.19";"49,26";"48,50";"49,26";"48,50";"9.848";"203"
"12.09.19";"49,365";"50,18";"50,18";"49,365";"65.998";"1.330"
"11.09.19";"49,06";"49,49";"49,49";"49,06";"40.128";"814"
"10.09.19";"50,98";"50,00";"51,03";"50,00";"2.594";"51"
"09.09.19";"51,60";"50,95";"51,60";"50,94";"13.867";"270"
"06.09.19";"50,71";"50,68";"50,71";"50,68";"5.527";"109"
"05.09.19";"51,09";"50,73";"51,15";"50,73";"16.097";"315"
"04.09.19";"50,90";"51,07";"51,10";"50,90";"12.002";"235"
