"Frankfurt";"PLFERRO00016";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"28.01.22";"6,58";"6,58";"6,58";"6,58";"";""
"27.01.22";"6,72";"6,72";"6,72";"6,72";"";""
"26.01.22";"6,66";"6,66";"6,66";"6,66";"";""
"25.01.22";"6,66";"6,66";"6,66";"6,66";"";""
"24.01.22";"7,04";"7,04";"7,04";"7,04";"";""
"21.01.22";"7,12";"7,12";"7,12";"7,12";"";""
"20.01.22";"7,38";"7,38";"7,38";"7,38";"";""
"19.01.22";"7,40";"7,40";"7,40";"7,40";"";""
"18.01.22";"7,42";"7,42";"7,42";"7,42";"";""
"17.01.22";"7,58";"7,58";"7,58";"7,58";"";""
"14.01.22";"7,46";"7,46";"7,46";"7,46";"";""
"13.01.22";"7,62";"7,62";"7,62";"7,62";"";""
"12.01.22";"7,28";"7,28";"7,28";"7,28";"";""
"11.01.22";"7,10";"7,10";"7,10";"7,10";"";""
"10.01.22";"7,10";"7,10";"7,10";"7,10";"";""
"07.01.22";"7,02";"7,02";"7,02";"7,02";"";""
"06.01.22";"6,92";"6,92";"6,92";"6,92";"";""
"05.01.22";"7,04";"7,04";"7,04";"7,04";"";""
"04.01.22";"7,04";"7,04";"7,04";"7,04";"";""
"03.01.22";"6,78";"6,78";"6,78";"6,78";"";""
"30.12.21";"6,76";"6,76";"6,76";"6,76";"";""
"29.12.21";"6,70";"6,70";"6,70";"6,70";"";""
"28.12.21";"6,50";"6,50";"6,50";"6,50";"";""
"27.12.21";"6,54";"6,54";"6,54";"6,54";"";""
"23.12.21";"6,74";"6,74";"6,74";"6,74";"";""
"22.12.21";"6,96";"6,96";"6,96";"6,96";"";""
"21.12.21";"6,78";"6,78";"6,78";"6,78";"";""
"20.12.21";"6,88";"6,88";"6,88";"6,88";"";""
"17.12.21";"6,94";"6,94";"6,94";"6,94";"";""
"16.12.21";"6,98";"6,98";"6,98";"6,98";"";""
"15.12.21";"6,84";"6,84";"6,84";"6,84";"";""
"14.12.21";"7,00";"7,00";"7,00";"7,00";"";""
"13.12.21";"7,04";"7,04";"7,04";"7,04";"";""
"10.12.21";"6,88";"6,88";"6,88";"6,88";"";""
"09.12.21";"6,88";"6,88";"6,88";"6,88";"";""
"08.12.21";"6,86";"6,86";"6,86";"6,86";"";""
"07.12.21";"6,82";"6,82";"6,82";"6,82";"";""
"06.12.21";"6,84";"6,84";"6,84";"6,84";"";""
"03.12.21";"6,78";"6,78";"6,78";"6,78";"";""
"02.12.21";"6,66";"6,66";"6,66";"6,66";"";""
"01.12.21";"6,80";"6,80";"6,80";"6,80";"";""
"30.11.21";"7,14";"7,14";"7,14";"7,14";"";""
"29.11.21";"7,32";"7,32";"7,32";"7,32";"";""
"26.11.21";"7,38";"7,38";"7,38";"7,38";"";""
"25.11.21";"7,26";"7,26";"7,26";"7,26";"";""
"24.11.21";"7,14";"7,14";"7,14";"7,14";"";""
"23.11.21";"7,36";"7,36";"7,36";"7,36";"";""
"22.11.21";"7,36";"7,36";"7,36";"7,36";"";""
"19.11.21";"7,46";"7,46";"7,46";"7,46";"";""
"18.11.21";"7,56";"7,56";"7,56";"7,56";"";""
"17.11.21";"7,64";"7,64";"7,64";"7,64";"";""
"16.11.21";"7,78";"7,78";"7,78";"7,78";"";""
"15.11.21";"7,54";"7,54";"7,54";"7,54";"";""
"12.11.21";"7,56";"7,56";"7,56";"7,56";"";""
"11.11.21";"7,60";"7,60";"7,60";"7,60";"";""
"10.11.21";"7,76";"7,76";"7,76";"7,76";"";""
"09.11.21";"7,74";"7,74";"7,74";"7,74";"";""
"08.11.21";"7,74";"7,74";"7,74";"7,74";"";""
"05.11.21";"7,84";"7,84";"7,84";"7,84";"";""
"04.11.21";"7,84";"7,84";"7,84";"7,84";"";""
"03.11.21";"7,84";"7,84";"7,84";"7,84";"";""
"02.11.21";"8,50";"8,32";"8,50";"8,32";"832";"100"
"01.11.21";"8,04";"8,04";"8,04";"8,04";"";""
"29.10.21";"8,18";"8,18";"8,18";"8,18";"";""
"28.10.21";"8,26";"8,26";"8,26";"8,26";"";""
"27.10.21";"8,26";"8,26";"8,26";"8,26";"";""
"26.10.21";"8,28";"8,28";"8,28";"8,28";"";""
"25.10.21";"8,16";"8,16";"8,16";"8,16";"";""
"22.10.21";"8,20";"8,20";"8,20";"8,20";"";""
"21.10.21";"8,18";"8,18";"8,18";"8,18";"";""
"20.10.21";"8,40";"8,40";"8,40";"8,40";"";""
"19.10.21";"8,32";"8,32";"8,32";"8,32";"";""
