"Frankfurt";"US1702721085";"";"";"";"";""
"Datum";"Eröffnung";"Schluss";"Tageshoch";"Tagestief";"Umsatz";"Umsatz in Stück"
"30.01.26";"12,70";"12,70";"12,70";"12,70";"1.270";"100"
"29.01.26";"11,40";"12,40";"12,40";"11,40";"372";"30"
"28.01.26";"11,50";"11,50";"11,50";"11,50";"";""
"27.01.26";"11,50";"12,30";"12,30";"11,50";"1.547";"126"
"26.01.26";"11,40";"11,40";"11,40";"11,40";"1.140";"100"
"23.01.26";"12,00";"12,00";"12,10";"12,00";"2.569";"214"
"22.01.26";"11,50";"11,50";"11,50";"11,50";"";""
"21.01.26";"12,00";"12,50";"12,50";"12,00";"63";"5"
"20.01.26";"12,00";"12,00";"12,00";"12,00";"";""
"19.01.26";"12,00";"12,80";"12,80";"12,00";"3.264";"255"
"16.01.26";"12,00";"12,30";"12,30";"12,00";"308";"25"
"15.01.26";"11,70";"11,70";"11,70";"11,70";"";""
"14.01.26";"11,60";"11,60";"11,60";"11,60";"";""
"13.01.26";"11,90";"12,20";"12,40";"11,90";"15.646";"1.282"
"12.01.26";"12,90";"12,80";"12,90";"12,70";"4.931";"386"
"09.01.26";"11,80";"11,80";"11,80";"11,80";"";""
"08.01.26";"11,70";"12,70";"12,70";"11,70";"3.810";"300"
"07.01.26";"11,70";"12,50";"12,50";"11,70";"500";"40"
"06.01.26";"11,80";"11,80";"11,80";"11,80";"";""
"05.01.26";"12,20";"12,20";"12,20";"12,20";"";""
"02.01.26";"12,10";"12,80";"12,90";"12,10";"4.035";"313"
"30.12.25";"12,10";"12,10";"12,10";"12,10";"";""
"29.12.25";"12,10";"12,80";"12,80";"12,10";"13";"1"
"23.12.25";"12,20";"12,20";"12,20";"12,20";"";""
"22.12.25";"12,20";"12,60";"12,90";"12,10";"1.352";"105"
"19.12.25";"12,40";"13,00";"13,00";"12,40";"130";"10"
"18.12.25";"12,20";"12,20";"12,20";"12,20";"";""
"17.12.25";"12,00";"11,60";"12,00";"11,60";"940";"81"
"16.12.25";"12,00";"12,00";"12,00";"12,00";"";""
"15.12.25";"11,90";"12,70";"12,70";"11,90";"25";"2"
"12.12.25";"11,90";"11,90";"11,90";"11,90";"";""
"11.12.25";"12,00";"12,70";"12,70";"12,00";"1.270";"100"
"10.12.25";"12,00";"12,00";"12,00";"12,00";"";""
"09.12.25";"12,10";"12,10";"12,10";"12,10";"";""
"08.12.25";"12,00";"12,80";"12,80";"12,00";"14.438";"1.128"
"05.12.25";"12,30";"12,30";"12,30";"12,30";"";""
"04.12.25";"12,10";"12,10";"12,10";"12,10";"";""
"03.12.25";"12,30";"12,30";"12,30";"12,30";"";""
"02.12.25";"12,20";"12,20";"12,20";"12,20";"";""
"01.12.25";"12,30";"13,00";"13,00";"12,30";"65";"5"
"28.11.25";"12,40";"13,10";"13,10";"11,80";"1.494";"118"
"27.11.25";"12,40";"12,40";"12,40";"12,40";"";""
"26.11.25";"12,50";"12,50";"12,50";"12,50";"";""
"25.11.25";"12,30";"12,30";"12,30";"12,30";"";""
"24.11.25";"12,40";"12,40";"12,40";"12,40";"";""
"21.11.25";"12,30";"12,30";"12,30";"12,30";"";""
"20.11.25";"12,50";"13,20";"13,20";"12,50";"9.240";"700"
"19.11.25";"12,50";"12,50";"12,50";"12,50";"";""
"18.11.25";"12,70";"13,50";"13,50";"12,70";"135";"10"
"17.11.25";"13,10";"13,10";"13,10";"13,10";"";""
"14.11.25";"13,40";"14,00";"14,00";"13,40";"140";"10"
"13.11.25";"13,40";"14,40";"14,40";"13,40";"115";"8"
"12.11.25";"13,40";"13,40";"13,40";"13,40";"";""
"11.11.25";"13,00";"13,00";"13,00";"13,00";"";""
"10.11.25";"13,20";"14,00";"14,00";"13,20";"4.200";"300"
"07.11.25";"13,00";"13,70";"13,70";"13,00";"4.727";"345"
"06.11.25";"13,00";"13,70";"13,70";"13,00";"5.028";"367"
"05.11.25";"13,00";"13,90";"13,90";"13,00";"28";"2"
"04.11.25";"12,80";"13,60";"13,60";"12,80";"1.224";"90"
"03.11.25";"13,00";"13,00";"13,00";"13,00";"";""
"31.10.25";"13,10";"13,10";"13,10";"13,10";"";""
"30.10.25";"13,10";"12,90";"13,10";"12,90";"";""
"29.10.25";"13,70";"13,70";"13,70";"13,70";"";""
"28.10.25";"13,70";"13,70";"13,70";"13,70";"";""
"27.10.25";"15,50";"15,50";"15,50";"15,50";"23.250";"1.500"
"24.10.25";"14,00";"13,50";"14,00";"13,50";"135";"10"
"23.10.25";"14,40";"14,40";"14,40";"14,40";"144";"10"
"22.10.25";"14,00";"14,00";"14,00";"14,00";"1.400";"100"
"21.10.25";"14,00";"14,80";"14,80";"14,00";"2.014";"138"
"20.10.25";"13,90";"14,20";"14,20";"13,90";"1.065";"75"
"17.10.25";"13,80";"14,00";"14,00";"13,80";"3.958";"283"
"16.10.25";"13,80";"13,90";"13,90";"13,80";"973";"70"
"15.10.25";"13,70";"13,70";"13,70";"13,70";"";""
"14.10.25";"13,40";"14,60";"14,60";"13,40";"1.513";"105"
"13.10.25";"13,40";"13,40";"13,40";"13,40";"";""
"10.10.25";"13,30";"13,40";"13,40";"13,30";"1.340";"100"
"09.10.25";"13,00";"13,00";"13,00";"13,00";"";""
"08.10.25";"12,70";"12,70";"12,70";"12,70";"";""
"07.10.25";"12,50";"12,50";"12,50";"12,50";"";""
"06.10.25";"12,40";"12,40";"12,40";"12,40";"";""
"03.10.25";"12,60";"12,60";"12,60";"12,60";"";""
"02.10.25";"12,40";"12,30";"12,40";"12,30";"";""
"01.10.25";"12,70";"12,70";"12,70";"12,70";"102";"8"
"30.09.25";"12,60";"13,30";"13,30";"12,60";"40";"3"
"29.09.25";"12,70";"12,70";"12,70";"12,70";"1.016";"80"
"26.09.25";"12,70";"12,20";"12,70";"12,20";"2.806";"230"
"25.09.25";"12,80";"12,80";"12,80";"12,80";"";""
"24.09.25";"12,80";"12,80";"12,80";"12,80";"";""
"23.09.25";"13,00";"12,90";"13,00";"12,90";"6.128";"475"
"22.09.25";"13,10";"13,10";"13,10";"13,10";"";""
"19.09.25";"12,90";"12,90";"12,90";"12,90";"";""
"18.09.25";"13,00";"13,00";"13,00";"13,00";"";""
"17.09.25";"13,00";"13,00";"13,00";"13,00";"";""
"16.09.25";"13,20";"13,50";"13,50";"12,40";"270";"20"
"15.09.25";"13,30";"14,20";"14,20";"13,30";"3.642";"260"
"12.09.25";"13,20";"13,20";"13,20";"13,20";"";""
"11.09.25";"13,00";"13,00";"13,00";"13,00";"";""
"10.09.25";"13,30";"14,20";"14,20";"13,30";"3.266";"230"
"09.09.25";"13,30";"13,30";"13,30";"13,30";"";""
"08.09.25";"13,80";"13,80";"13,80";"13,80";"207";"15"
"05.09.25";"13,00";"13,00";"13,00";"13,00";"";""
"04.09.25";"12,90";"13,90";"13,90";"12,90";"111";"8"
"03.09.25";"12,60";"12,60";"12,60";"12,60";"";""
"02.09.25";"12,50";"12,60";"12,60";"12,50";"";""
"01.09.25";"12,60";"12,60";"12,60";"12,60";"";""
"29.08.25";"12,50";"12,60";"12,60";"12,50";"";""
"28.08.25";"12,60";"12,60";"12,60";"12,60";"";""
"27.08.25";"12,40";"12,40";"12,40";"12,40";"";""
"26.08.25";"12,20";"13,30";"13,30";"12,20";"1.330";"100"
"25.08.25";"12,30";"12,30";"12,30";"12,30";"";""
"22.08.25";"12,30";"12,30";"12,30";"12,30";"";""
"21.08.25";"12,40";"12,40";"12,40";"12,40";"3.720";"300"
"20.08.25";"11,90";"11,90";"11,90";"11,90";"";""
"19.08.25";"11,80";"11,80";"11,80";"11,80";"";""
"18.08.25";"12,60";"12,60";"12,60";"12,60";"189";"15"
"15.08.25";"12,00";"12,00";"12,00";"12,00";"";""
"14.08.25";"11,80";"11,90";"12,90";"11,80";"1.882";"150"
