Tabelle: 42121-0001
Produktion im Verarbeitenden Gewerbe: Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Güteraggregate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monatliche Produktionserhebung im Verarb. Gewerbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Januar;;;;;;;;;;;;;;;;;;;;;;Februar;;;;;;;;;;;;;;;;;;;;;;März;;;;;;;;;;;;;;;;;;;;;;April;;;;;;;;;;;;;;;;;;;;;;Mai;;;;;;;;;;;;;;;;;;;;;;Juni;;;;;;;;;;;;;;;;;;;;;;Juli;;;;;;;;;;;;;;;;;;;;;;August;;;;;;;;;;;;;;;;;;;;;;September;;;;;;;;;;;;;;;;;;;;;;Oktober;;;;;;;;;;;;;;;;;;;;;;November;;;;;;;;;;;;;;;;;;;;;;Dezember;;;;;;;;;;;;;;;;;;;;;
;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;
;;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A1014;Leb-, Honigkuchen, Kekse, Kleingebäck, Waffeln;130039;e;-;;47444610;e;-;;-;;46;e;-;;-;;-;;-;;-;;136769;e;-;;48310395;e;-;;-;;49;e;-;;-;;-;;-;;-;;147476;e;-;;52605540;e;-;;-;;50;e;-;;-;;-;;-;;-;;148299;e;-;;52811445;e;-;;-;;50;e;-;;-;;-;;-;;-;;150247;e;-;;54902043;e;-;;-;;50;e;-;;-;;-;;-;;-;;139103;e;-;;50436825;e;-;;-;;50;e;-;;-;;-;;-;;-;;155860;e;-;;56021610;e;-;;-;;50;e;-;;-;;-;;-;;-;;175224;e;-;;62217605;e;-;;-;;50;e;-;;-;;-;;-;;-;;189231;e;-;;66874871;e;-;;-;;50;e;-;;-;;-;;-;;-;;197433;e;-;;68757088;e;-;;-;;50;e;-;;-;;-;;-;;-;;193389;e;-;;63061533;e;-;;-;;50;e;-;;-;;-;;-;;-;;131516;e;-;;40153533;e;-;;-;;50;e;-;;-;;-;;-;;-;
GP19-A1017;Schokolade u.a. kakaohaltige Lebensmittelzubereit.;461306;e;-;;115090811;e;-;;-;;96;e;-;;-;;-;;-;;-;;472576;e;-;;106974979;e;-;;-;;97;e;-;;-;;-;;-;;-;;500789;e;-;;108745580;e;-;;-;;98;e;-;;-;;-;;-;;-;;365671;e;-;;90031763;e;-;;-;;95;e;-;;-;;-;;-;;-;;379340;e;-;;91798910;e;-;;-;;96;e;-;;-;;-;;-;;-;;326821;e;-;;81946155;e;-;;-;;95;e;-;;-;;-;;-;;-;;436392;e;-;;107326516;e;-;;-;;98;e;-;;-;;-;;-;;-;;519442;e;-;;124465455;e;-;;-;;95;e;-;;-;;-;;-;;-;;597681;e;-;;134935644;e;-;;-;;97;e;-;;-;;-;;-;;-;;671837;e;-;;143202615;e;-;;-;;98;e;-;;-;;-;;-;;-;;620313;e;-;;135187541;e;-;;-;;96;e;-;;-;;-;;-;;-;;394819;e;-;;88013980;e;-;;-;;96;e;-;;-;;-;;-;;-;
GP19-A1018;Kaffee, geröstet;134956;e;-;;47408304;e;-;;-;;18;e;-;;47408304;e;-;;-;;18;e;117160;e;-;;41095955;e;-;;-;;17;e;-;;41095955;e;-;;-;;17;e;125001;e;-;;47863945;e;-;;-;;17;e;-;;47863945;e;-;;-;;17;e;130388;e;-;;46822712;e;-;;-;;17;e;-;;46822712;e;-;;-;;17;e;131339;e;-;;47476242;e;-;;-;;17;e;-;;47476242;e;-;;-;;17;e;102175;e;-;;37886032;e;-;;-;;17;e;-;;37886032;e;-;;-;;17;e;127533;e;-;;47610735;e;-;;-;;17;e;-;;47610735;e;-;;-;;17;e;109663;e;-;;40545310;e;-;;-;;17;e;-;;40545310;e;-;;-;;17;e;126247;e;-;;45827852;e;-;;-;;17;e;-;;45827852;e;-;;-;;17;e;130166;e;-;;49976964;e;-;;-;;17;e;-;;49976964;e;-;;-;;17;e;136951;e;-;;52872664;e;-;;-;;17;e;-;;52872664;e;-;;-;;17;e;104168;e;-;;39512867;e;-;;-;;17;e;-;;39512867;e;-;;-;;17;e
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A1014;Leb-, Honigkuchen, Kekse, Kleingebäck, Waffeln;145012;e;-;;52531248;e;-;;-;;49;e;-;;-;;-;;-;;-;;151745;e;-;;52656990;e;-;;-;;49;e;-;;-;;-;;-;;-;;170735;e;-;;61143361;e;-;;-;;49;e;-;;-;;-;;-;;-;;148333;e;-;;55602053;e;-;;-;;47;e;-;;-;;-;;-;;-;;133098;e;-;;51123927;e;-;;-;;47;e;-;;-;;-;;-;;-;;145761;e;-;;52719737;e;-;;-;;47;e;-;;-;;-;;-;;-;;165370;e;-;;59744541;e;-;;-;;47;e;-;;-;;-;;-;;-;;160817;e;-;;57318857;e;-;;-;;48;e;-;;-;;-;;-;;-;;192450;e;-;;68082278;e;-;;-;;48;e;-;;-;;-;;-;;-;;194009;e;-;;65563744;e;-;;-;;48;e;-;;-;;-;;-;;-;;188934;e;-;;60045000;e;-;;-;;48;e;-;;-;;-;;-;;-;;127654;e;-;;40035528;e;-;;-;;48;e;-;;-;;-;;-;;-;
GP19-A1017;Schokolade u.a. kakaohaltige Lebensmittelzubereit.;503777;e;-;;121845237;e;-;;-;;98;e;-;;-;;-;;-;;-;;538607;e;-;;119136107;e;-;;-;;96;e;-;;-;;-;;-;;-;;507109;e;-;;115000001;e;-;;-;;97;e;-;;-;;-;;-;;-;;344909;e;-;;91789026;e;-;;-;;94;e;-;;-;;-;;-;;-;;317190;e;-;;83895124;e;-;;-;;93;e;-;;-;;-;;-;;-;;374298;e;-;;96038750;e;-;;-;;96;e;-;;-;;-;;-;;-;;448817;e;-;;114508295;e;-;;-;;97;e;-;;-;;-;;-;;-;;513688;e;-;;125303972;e;-;;-;;95;e;-;;-;;-;;-;;-;;639348;e;-;;144480142;e;-;;-;;97;e;-;;-;;-;;-;;-;;677293;e;-;;144072251;e;-;;-;;94;e;-;;-;;-;;-;;-;;612725;e;-;;133808381;e;-;;-;;93;e;-;;-;;-;;-;;-;;409291;e;-;;91818273;e;-;;-;;94;e;-;;-;;-;;-;;-;
